date,lat,long
2026-06-20,39.351494,-76.683431
2026-06-20,39.317852,-76.611126
2026-06-24,39.353042,-76.609304
2026-06-30,39.303436,-76.638303
2026-06-27,39.281902,-76.683871
2026-06-23,39.291935,-76.568871
2026-05-24,39.286948,-76.689612
2026-07-04,39.23736,-76.603484
2026-06-10,39.252424,-76.626725
2022-11-24,39.293412,-76.579178
2026-05-31,39.289634,-76.615969
2026-04-24,39.338852,-76.668668
2026-06-11,39.308833,-76.650045
2026-06-07,39.339459,-76.667225
2026-06-06,39.277469,-76.616065
2026-05-30,39.244704,-76.627313
2026-05-15,39.290722,-76.645827
2026-04-05,39.280445,-76.610506
2026-05-15,39.290722,-76.645827
2026-04-01,39.3462,-76.680844
2026-04-01,39.299568,-76.621735
2026-04-13,39.347585,-76.671698
2026-05-07,39.32168,-76.691
2026-05-05,39.282493,-76.642209
2026-05-07,39.311074,-76.592445
2026-03-25,39.347974,-76.597577
2026-03-30,39.30727,-76.596975
2026-02-04,39.343117,-76.659342
2026-03-06,39.343479,-76.642764
2026-02-15,39.308541,-76.63692
2026-02-28,39.300435,-76.597665
2026-01-06,39.330612,-76.557004
2026-02-20,39.303409,-76.629099
2026-01-03,39.299502,-76.584968
2026-02-04,39.343117,-76.659342
2026-02-15,39.344642,-76.683372
2026-02-13,39.301989,-76.594864
2026-02-27,39.227825,-76.600221
2026-02-25,39.342014,-76.678137
2026-02-25,39.342014,-76.678137
2026-02-25,39.238876,-76.602872
2026-01-31,39.354796,-76.609679
2025-12-28,39.277291,-76.612179
2026-01-03,39.285161,-76.669903
2025-12-27,39.299419,-76.598435
2026-01-04,39.30963,-76.636835
2026-02-17,39.318693,-76.6544
2026-01-11,39.338947,-76.683385
2025-11-25,39.298648,-76.665289
2026-01-18,39.310527,-76.634118
2025-12-06,39.284134,-76.645943
2022-06-22,39.312683,-76.584042
2026-01-14,39.315543,-76.592521
2025-12-06,39.284134,-76.645943
2025-12-04,39.347512,-76.539532
2025-12-13,39.319153,-76.609014
2022-06-21,39.312592,-76.586055
2025-12-10,39.266818,-76.652208
2026-01-16,39.251025,-76.643614
2025-12-13,39.266671,-76.652129
2026-01-15,39.251085,-76.624876
2025-12-07,39.368088,-76.54772
2025-12-10,39.27416,-76.628276
2025-11-26,39.298045,-76.60393
2025-12-13,39.239168,-76.596617
2025-11-05,39.290721,-76.644005
2025-11-02,39.2917,-76.620038
2025-11-08,39.309227,-76.669517
2025-11-06,39.340798,-76.697292
2025-12-16,39.322319,-76.572337
2025-12-18,39.315953,-76.679616
2025-11-23,39.328686,-76.546433
2025-11-22,39.308769,-76.670655
2025-10-29,39.29373,-76.567698
2025-11-14,39.276657,-76.61305
2025-10-01,39.263114,-76.639826
2025-11-11,39.349039,-76.56636
2025-11-04,39.309625,-76.597832
2025-10-07,39.237721,-76.612447
2025-11-23,39.323848,-76.683597
2025-10-15,39.282831,-76.63122
2025-11-22,39.292948,-76.6215
2025-11-15,39.311461,-76.609536
2025-09-09,39.300487,-76.63607
2022-08-14,39.352266,-76.561598
2025-10-17,39.296878,-76.614735
2025-10-03,39.300197,-76.596131
2025-10-21,39.356333,-76.599941
2025-09-10,39.301018,-76.584824
2025-10-23,39.228339,-76.597679
2025-09-11,39.301165,-76.661841
2025-09-25,39.26346,-76.632945
2025-09-13,39.347122,-76.676977
2025-09-20,39.312908,-76.604122
2025-09-26,39.310487,-76.637317
2025-09-25,39.304772,-76.585301
2025-08-20,39.313894,-76.64568
2025-09-20,39.309502,-76.632743
2025-08-20,39.348306,-76.674991
2025-08-23,39.316496,-76.632042
2025-09-30,39.23528,-76.604405
2025-08-31,39.325513,-76.601546
2025-08-31,39.348622,-76.67257
2025-07-13,39.282014,-76.681395
2025-07-23,39.292827,-76.675692
2025-07-23,39.299568,-76.680328
2025-09-04,39.29551,-76.633039
2025-07-19,39.323365,-76.594353
2025-08-10,39.350639,-76.670456
2025-06-21,39.289865,-76.594044
2025-07-19,39.363377,-76.64645
2025-06-19,39.29697,-76.582989
2025-07-01,39.299226,-76.578256
2025-06-23,39.297212,-76.684472
2025-08-09,39.293198,-76.656757
2025-06-22,39.281328,-76.651312
2025-07-05,39.320341,-76.609545
2025-07-03,39.312988,-76.608602
2025-07-02,39.315466,-76.567028
2025-05-26,39.303957,-76.635443
2025-05-26,39.303957,-76.635443
2025-07-12,39.325718,-76.571098
2025-07-11,39.276441,-76.54341
2025-05-23,39.309157,-76.644141
2025-05-25,39.294017,-76.622784
2025-07-03,39.36067,-76.553805
2025-07-08,39.342387,-76.677958
2025-07-05,39.294442,-76.568678
2025-06-01,39.359464,-76.551663
2025-06-30,39.304912,-76.602749
2025-07-03,39.281519,-76.651842
2025-07-03,39.280331,-76.595297
2025-06-18,39.310965,-76.591507
2025-06-03,39.284842,-76.645393
2025-05-24,39.312049,-76.610902
2025-06-13,39.289812,-76.641191
2025-10-25,39.323648,-76.656756
2025-05-07,39.320646,-76.569264
2022-11-06,39.351428,-76.68374
2025-06-14,39.324766,-76.541071
2025-06-09,39.24335,-76.623486
2025-06-07,39.347279,-76.669526
2025-05-31,39.250387,-76.623464
2025-05-04,39.304251,-76.646246
2025-05-19,39.305023,-76.584293
2025-05-04,39.295978,-76.569568
2025-04-06,39.315298,-76.595738
2025-05-15,39.296672,-76.584921
2025-04-03,39.355957,-76.702863
2025-10-10,39.2776,-76.542091
2022-10-30,39.338128,-76.607647
2025-05-18,39.299196,-76.601862
2025-05-18,39.273153,-76.674254
2025-04-05,39.305215,-76.649697
2025-03-09,39.323811,-76.683371
2025-05-11,39.301521,-76.685465
2025-05-11,39.24012,-76.607696
2025-04-24,39.34934,-76.67696
2025-03-09,39.305202,-76.643543
2025-03-16,39.326982,-76.563648
2025-03-19,39.350376,-76.680783
2025-03-18,39.303809,-76.608014
2025-04-19,39.294532,-76.678493
2025-03-05,39.29986,-76.603564
2025-03-16,39.35146,-76.683003
2025-03-15,39.305845,-76.641997
2025-03-17,39.345222,-76.607122
2025-03-13,39.237543,-76.611748
2025-03-06,39.274853,-76.68878
2025-02-20,39.292657,-76.59981
2025-03-15,39.305127,-76.574268
2025-03-22,39.295665,-76.572798
2025-02-02,39.304808,-76.582598
2025-02-23,39.238883,-76.610829
2025-02-27,39.28833,-76.64441
2025-01-09,39.329383,-76.533181
2025-01-12,39.338975,-76.667895
2025-02-23,39.238883,-76.610829
2025-02-23,39.294467,-76.664974
2025-01-23,39.326763,-76.573843
2025-01-19,39.292667,-76.566324
2025-01-19,39.326933,-76.683247
2025-01-19,39.235206,-76.606359
2025-02-16,39.311125,-76.584547
2025-02-15,39.277173,-76.542858
2024-12-31,39.34499,-76.597518
2025-01-24,39.347921,-76.670392
2025-01-27,39.323438,-76.59663
2025-02-23,39.287374,-76.559583
2024-12-03,39.310963,-76.676075
2025-01-18,39.340768,-76.701332
2024-12-18,39.303873,-76.549225
2024-12-16,39.31035,-76.637047
2024-12-16,39.288676,-76.636815
2024-12-10,39.305296,-76.550699
2025-01-27,39.294024,-76.678453
2024-12-01,39.313019,-76.649097
2024-11-30,39.289153,-76.620836
2024-12-26,39.305864,-76.583221
2024-12-08,39.29717,-76.689586
2024-11-09,39.347313,-76.538975
2025-01-22,39.355549,-76.609961
2024-12-09,39.327666,-76.651253
2024-12-09,39.344236,-76.682512
2024-12-24,39.307612,-76.709025
2024-12-15,39.290553,-76.64888
2024-11-03,39.328331,-76.565331
2024-11-15,39.304414,-76.631644
2024-11-25,39.251381,-76.614942
2024-11-24,39.352809,-76.681492
2024-11-22,39.305702,-76.631792
2024-12-18,39.303805,-76.581126
2024-11-18,39.295206,-76.647392
2024-11-15,39.348073,-76.681587
2024-11-21,39.315527,-76.600077
2024-11-07,39.268964,-76.634143
2024-11-17,39.299615,-76.591038
2024-12-29,39.299346,-76.584386
2024-11-06,39.311125,-76.584547
2024-12-27,39.308292,-76.636452
2024-10-27,39.296761,-76.582954
2024-10-10,39.341667,-76.603657
2024-11-21,39.331038,-76.543517
2024-11-22,39.339554,-76.681255
2022-09-11,39.325402,-76.552533
2024-11-13,39.30472,-76.60924
2024-10-28,39.278559,-76.565613
2024-10-28,39.289386,-76.64802
2024-10-10,39.302393,-76.635113
2024-09-23,39.312496,-76.645495
2024-10-24,39.292119,-76.580332
2026-03-20,39.277908,-76.658448
2026-03-21,39.299167,-76.583178
2024-11-06,39.317807,-76.6198
2024-09-20,39.312742,-76.603245
2024-09-30,39.283813,-76.645021
2024-11-04,39.302416,-76.633364
2024-10-27,39.277716,-76.615521
2024-10-08,39.315875,-76.596317
2024-11-07,39.333165,-76.694911
2024-10-05,39.354715,-76.609786
2024-09-21,39.34431,-76.609666
2024-08-22,39.312336,-76.591661
2024-08-21,39.282172,-76.626187
2024-10-14,39.315164,-76.599208
2024-10-26,39.283734,-76.646768
2024-09-27,39.318181,-76.609534
2024-10-24,39.312974,-76.608317
2024-10-07,39.303856,-76.579852
2024-10-03,39.283952,-76.656029
2024-08-22,39.369841,-76.681657
2024-10-10,39.341667,-76.603657
2024-09-15,39.343019,-76.599134
2024-08-22,39.27987,-76.6856
2024-09-12,39.305301,-76.640564
2024-09-28,39.281639,-76.684705
2024-08-15,39.28631,-76.642333
2024-09-21,39.287562,-76.540164
2024-08-06,39.308664,-76.642655
2024-08-06,39.2885,-76.640899
2024-09-17,39.309135,-76.635285
2024-09-03,39.27669,-76.625418
2024-09-18,39.37154,-76.567094
2024-09-18,39.340819,-76.601085
2024-07-07,39.310493,-76.641275
2024-08-18,39.300741,-76.624172
2024-08-17,39.285644,-76.593458
2024-09-16,39.248346,-76.629275
2024-08-09,39.286823,-76.633745
2024-09-21,39.348345,-76.674819
2024-09-21,39.348345,-76.674819
2024-09-21,39.276665,-76.613053
2024-08-04,39.29761,-76.647529
2024-07-09,39.338747,-76.684804
2024-07-24,39.298696,-76.575133
2024-08-10,39.3017,-76.625516
2024-08-21,39.283587,-76.657694
2024-08-19,39.305418,-76.598901
2024-07-13,39.291135,-76.605901
2024-08-16,39.340598,-76.607576
2024-08-01,39.234909,-76.597586
2024-07-29,39.344491,-76.682936
2024-07-22,39.318437,-76.653356
2024-07-16,39.283984,-76.654892
2024-07-14,39.301227,-76.60538
2024-07-15,39.308263,-76.575871
2024-07-04,39.288359,-76.643869
2024-07-15,39.309695,-76.643737
2024-09-15,39.282966,-76.602482
2024-07-10,39.338087,-76.551554
2024-07-27,39.301863,-76.599297
2024-07-10,39.293939,-76.657175
2024-07-20,39.297129,-76.577863
2024-07-06,39.29853,-76.655074
2024-07-17,39.31945,-76.572839
2024-07-25,39.327449,-76.682581
2024-07-09,39.29845,-76.662979
2024-07-06,39.311144,-76.64207
2024-07-03,39.302393,-76.635113
2024-07-20,39.33855,-76.658447
2024-06-16,39.268805,-76.651164
2024-06-11,39.319322,-76.596347
2024-06-10,39.290506,-76.65028
2024-06-14,39.22831,-76.594049
2024-06-18,39.30073,-76.626726
2024-05-21,39.336753,-76.683375
2024-05-20,39.322332,-76.572575
2024-06-12,39.283281,-76.644123
2024-07-03,39.323659,-76.543057
2024-05-18,39.315995,-76.64539
2024-05-26,39.274215,-76.627883
2024-06-02,39.296985,-76.626667
2024-08-11,39.303415,-76.639037
2024-08-21,39.249681,-76.631216
2024-06-24,39.296975,-76.656517
2024-05-25,39.298175,-76.662958
2024-06-30,39.32164,-76.68414
2024-06-25,39.296136,-76.634832
2024-05-27,39.288341,-76.659341
2024-06-25,39.311534,-76.647532
2024-05-06,39.313317,-76.615964
2024-04-02,39.28668,-76.611347
2024-05-29,39.355303,-76.678773
2024-04-02,39.311101,-76.585072
2024-06-02,39.293721,-76.623351
2024-05-09,39.305569,-76.587921
2024-06-06,39.326407,-76.587546
2024-03-26,39.304304,-76.6357
2024-04-25,39.301825,-76.626958
2024-05-31,39.347176,-76.683203
2024-04-29,39.339442,-76.684719
2024-06-06,39.32287,-76.682836
2024-05-06,39.277927,-76.617464
2024-02-03,39.29441,-76.66805
2024-05-05,39.325198,-76.65772
2024-02-02,39.245407,-76.624484
2024-06-27,39.33114,-76.671164
2024-03-01,39.245502,-76.623379
2024-06-24,39.296008,-76.58361
2024-04-17,39.323209,-76.549041
2024-04-15,39.295597,-76.584302
2024-02-29,39.28652,-76.63737
2024-03-03,39.30416,-76.599443
2024-03-12,39.301097,-76.580394
2024-02-08,39.329222,-76.564003
2024-02-08,39.329222,-76.564003
2024-03-01,39.324318,-76.540743
2024-03-13,39.323917,-76.594772
2024-03-11,39.295419,-76.573467
2024-04-15,39.347182,-76.671663
2024-03-06,39.337787,-76.594408
2024-03-05,39.283464,-76.681141
2024-03-16,39.305359,-76.575558
2024-04-07,39.291483,-76.566692
2024-03-15,39.299977,-76.645679
2024-03-07,39.284553,-76.652075
2024-03-10,39.349501,-76.669621
2024-04-11,39.243489,-76.626152
2024-04-07,39.306129,-76.667512
2024-02-02,39.327568,-76.530666
2024-03-12,39.29184,-76.58735
2024-03-16,39.289883,-76.576111
2024-03-15,39.313224,-76.603455
2024-01-16,39.322824,-76.5736
2024-01-09,39.324556,-76.569682
2024-02-16,39.299388,-76.63739
2024-01-30,39.338303,-76.604458
2024-03-13,39.316947,-76.682734
2024-02-17,39.324694,-76.686618
2024-06-01,39.344587,-76.685961
2024-04-21,39.341504,-76.634469
2024-02-17,39.291114,-76.618058
2024-01-20,39.34276,-76.686013
2024-01-20,39.34276,-76.686013
2024-04-18,39.300042,-76.580323
2023-12-18,39.356608,-76.689668
2024-01-02,39.288232,-76.653561
2023-12-31,39.328331,-76.565331
2024-01-04,39.289796,-76.621021
2024-01-25,39.343025,-76.685902
2024-02-21,39.29117,-76.630145
2023-12-10,39.29745,-76.65346
2024-02-17,39.324694,-76.686618
2024-01-14,39.298822,-76.61104
2023-12-22,39.325694,-76.536432
2024-01-24,39.262223,-76.652554
2023-11-07,39.279013,-76.656114
2024-01-30,39.28872,-76.635795
2024-05-14,39.320978,-76.609548
2024-05-12,39.29196,-76.56745
2023-11-27,39.295633,-76.661518
2023-12-15,39.311046,-76.600844
2023-11-25,39.281202,-76.699118
2023-11-25,39.281202,-76.699118
2023-12-19,39.259902,-76.53014
2023-12-17,39.309545,-76.636763
2024-01-12,39.282916,-76.628889
2024-01-27,39.29604,-76.570495
2024-01-20,39.226748,-76.588668
2024-01-20,39.226748,-76.588668
2023-12-01,39.328484,-76.546674
2024-01-27,39.305017,-76.601735
2023-12-22,39.312592,-76.586055
2023-11-15,39.294509,-76.663769
2023-10-25,39.264132,-76.632381
2023-12-16,39.305793,-76.58492
2023-12-03,39.273929,-76.533109
2023-10-22,39.354644,-76.530717
2023-12-03,39.333393,-76.609397
2023-12-03,39.333393,-76.609397
2023-12-02,39.29388,-76.682708
2023-11-15,39.294509,-76.663769
2023-10-31,39.32588,-76.555983
2023-11-01,39.298721,-76.574561
2023-12-30,39.342146,-76.678047
2023-12-01,39.308014,-76.638809
2023-12-31,39.298066,-76.69342
2022-09-11,39.282493,-76.657425
2023-09-15,39.292878,-76.621218
2023-10-27,39.338391,-76.67025
2023-11-30,39.313006,-76.686047
2023-10-02,39.294251,-76.649084
2023-10-27,39.288081,-76.635179
2023-11-15,39.297233,-76.575736
2023-10-17,39.347675,-76.682437
2023-09-15,39.29205,-76.62981
2022-10-04,39.302462,-76.662739
2023-09-23,39.296228,-76.575822
2023-11-21,39.315748,-76.665029
2023-11-10,39.348671,-76.678066
2023-09-22,39.316171,-76.589971
2023-09-25,39.303467,-76.643141
2023-11-12,39.326408,-76.682684
2023-10-17,39.367499,-76.564986
2023-10-16,39.304359,-76.607548
2023-09-30,39.295636,-76.583589
2023-10-14,39.283226,-76.642139
2023-09-24,39.294069,-76.615311
2023-10-05,39.286385,-76.638086
2023-10-06,39.313628,-76.589931
2023-09-05,39.298551,-76.634089
2023-10-16,39.323811,-76.683371
2023-10-03,39.294175,-76.639935
2023-10-18,39.305845,-76.641997
2023-09-23,39.294981,-76.620312
2023-08-26,39.299834,-76.661759
2023-11-12,39.276617,-76.5426
2023-09-06,39.330764,-76.606454
2023-09-02,39.312009,-76.587403
2023-09-02,39.312009,-76.587403
2023-09-24,39.253722,-76.654033
2023-08-31,39.279243,-76.668384
2023-08-27,39.237401,-76.601683
2023-09-07,39.307923,-76.647701
2023-08-24,39.309701,-76.652779
2023-08-31,39.367415,-76.594396
2023-09-29,39.276296,-76.614252
2023-10-02,39.236817,-76.603763
2023-08-17,39.288795,-76.634155
2023-08-12,39.284661,-76.656556
2023-09-03,39.289606,-76.609849
2023-08-25,39.343755,-76.600966
2023-09-29,39.367255,-76.567104
2023-08-24,39.309701,-76.652779
2023-09-24,39.253722,-76.654033
2023-07-03,39.287874,-76.652036
2023-07-25,39.251412,-76.646984
2023-09-13,39.295636,-76.583589
2023-09-07,39.304055,-76.602249
2023-08-01,39.224446,-76.588464
2023-08-26,39.329918,-76.608353
2023-08-31,39.242827,-76.623435
2023-07-01,39.326732,-76.591625
2023-08-11,39.328562,-76.590035
2023-07-04,39.284463,-76.642226
